,testetst_Image8_edited__Bioformats,testetst_Image8_edited__PredictorSimple,testetst_Image8_edited__PredictorNetwork,testetst_Image8_edited__PredictorSimpleAnnotation,testetst_Image8_edited__PredictorNetworkAnnotation
Images/0/Image/Pixelss/0/Pixels/PhysicalSizeYUnit = µm,True,True,True,True,True
StructuredAnnotations/XMLAnnotations/3/XMLAnnotation/Value/OriginalMetadata/Key = SamplesPerPixel,True,False,False,False,False
StructuredAnnotations/XMLAnnotations/12/XMLAnnotation/Namespace = openmicroscopy.org/OriginalMetadata,True,False,False,False,False
StructuredAnnotations/XMLAnnotations/4/XMLAnnotation/Value/OriginalMetadata/Value = 1,True,False,False,False,False
StructuredAnnotations/XMLAnnotations/1/XMLAnnotation/ID = Annotation:1,True,False,False,False,False
StructuredAnnotations/XMLAnnotations/11/XMLAnnotation/ID = Annotation:11,True,False,False,False,False
Images/3/Image/Pixelss/0/Pixels/Channels/1/Channel/SamplesPerPixel = 1,False,False,False,False,True
Images/2/Image/Pixelss/0/Pixels/SizeZ = 1,False,False,False,True,True
StructuredAnnotations/XMLAnnotations/11/XMLAnnotation/Namespace = openmicroscopy.org/OriginalMetadata,True,False,False,False,False
StructuredAnnotations/XMLAnnotations/0/XMLAnnotation/Value/OriginalMetadata/Key = hyperstack,True,False,False,False,False
StructuredAnnotations/XMLAnnotations/4/XMLAnnotation/Namespace = openmicroscopy.org/OriginalMetadata,True,False,False,False,False
Images/1/Image/Pixelss/0/Pixels/SizeZ = 1,False,True,True,True,True
Images/2/Image/Pixelss/0/Pixels/SignificantBits = 8,False,False,False,True,True
StructuredAnnotations/XMLAnnotations/14/XMLAnnotation/Value/OriginalMetadata/Key = BitsPerSample,True,False,False,False,False
StructuredAnnotations/XMLAnnotations/0/XMLAnnotation/Value/OriginalMetadata/Value = true,True,False,False,False,False
StructuredAnnotations/XMLAnnotations/1/XMLAnnotation/Value/OriginalMetadata/Key = PlanarConfiguration,True,False,False,False,False
StructuredAnnotations/XMLAnnotations/12/XMLAnnotation/ID = Annotation:12,True,False,False,False,False
Images/0/Image/Pixelss/0/Pixels/ID = Pixels:0,True,True,True,True,True
StructuredAnnotations/XMLAnnotations/1/XMLAnnotation/Value/OriginalMetadata/Value = Chunky,True,False,False,False,False
Images/3/Image/Pixelss/0/Pixels/Channels/0/Channel/SamplesPerPixel = 1,False,False,False,False,True
Images/2/Image/Pixelss/0/Pixels/DimensionOrder = XYCZT,False,False,False,True,True
StructuredAnnotations/XMLAnnotations/2/XMLAnnotation/ID = Annotation:2,True,False,False,False,False
Images/3/Image/Pixelss/0/Pixels/Channels/2/Channel/ID = Channel:0:2,False,False,False,False,True
Images/3/Image/Pixelss/0/Pixels/Type = uint8,False,False,False,False,True
StructuredAnnotations/XMLAnnotations/11/XMLAnnotation/Value/OriginalMetadata/Value = 100777.212,True,False,False,False,False
StructuredAnnotations/XMLAnnotations/3/XMLAnnotation/Namespace = openmicroscopy.org/OriginalMetadata,True,False,False,False,False
